normal,double,label,Flipped
"A: like attending

Cameron's friends would feel like attending because she invited them to a barbecue.","A: like attending

Cameron's friends would feel like attending because she invited them to a barbecue. Therefore, the correct answer is A.",A,1
"A: cast the line

B and C are not relevant to the given scenario. Remy baited Kai's hook, so the next step would be to cast the line.",A: cast the line,A,1
"C is not a valid answer. 

A or B could be the answer, depending on the context. If the question is asking why Addison hugged Skylar's son when they were feeling down, then A would be the answer. If the question is asking why Addison hugged Skylar's son, but the context suggests that it was not appropriate or helpful, then B would be the answer. However, without more context, it's impossible to determine which answer is correct.","B.

If the question is asking why Addison hugged Skylar's son when they were feeling down, then A would be the answer. However, if the context suggests that it was not appropriate or helpful, then B would be the answer.

In this case, without more context, it's impossible to determine which answer is correct. But if we assume that the context suggests that it was not appropriate or helpful, then B would be the answer.

For example, if the question is: ""Addison hugged Skylar's son when they were feeling down, but Skylar was uncomfortable with the gesture. Why did Addison do this?"" In this case, B would be the answer.

So, the correct answer is B.",A,
"A: Save the money
B: (incorrect) get hired at the steakhouse (this would be a new job, not what Kendall wants to do next)
C: (incorrect) Quit her job (this would not be what Kendall wants to do next, as she just made bank on tips)

The correct answer is A: Save the money.",A: Save the money.,A,1
"A: grateful

Explanation:

Kendall ran back to thank Lee for helping her find the dog. This action shows that Kendall is grateful for Lee's assistance. Therefore, the best answer would be ""grateful.""",A: grateful,A,1
"A: help Aubrey go back home
B and C are not relevant options in this scenario. Aubrey's priority would be to help Sasha's mom and ensure that she is safe and taken care of. After that, Aubrey may want to help Sasha and her family with any arrangements that need to be made, but that is not the immediate concern.","A: help Aubrey go back home is not a relevant option in this scenario. Aubrey's priority would be to help Sasha's mom and ensure that she is safe and taken care of. After that, Aubrey may want to help Sasha and her family with any arrangements that need to be made, but that is not the immediate concern. Therefore, the correct answer is ""help Aubrey go back home"" is not the correct answer.",C,
"C: Lay still

Remy needs to lay still before blinking Quinn's eyes because if Remy moves around too much, it could cause Quinn's head to move and disrupt the blinking process. By laying still, Remy can ensure that Quinn's head remains in a stable position and that the blinking is as effective as possible.","C: Lay still.

However, based on the given context, it's not clear whether Remy needs to lay still before blinking Quinn's eyes. The statement ""Remy blinked Quinn's eyes because Quinn was paralyzed after the car accident"" suggests that Remy is already in a position to blink Quinn's eyes. If there is additional information that indicates Remy needs to lay still before blinking Quinn's eyes, then that would be the correct answer. But if there is no such information, then the answer is simply that Remy blinked Quinn's eyes.",B,
Austin did this because he wanted to help another person. (B),B.,B,1
"A: doing their job

Explanation:

Based on the given information, Jordan is performing a task that is part of their job. The context provided does not suggest that Jordan is ambivalent or killing someone.",A: doing their job.,A,1
"A: affected
C: worse

Explanation:

A: After bursting into tears at work, Sydney would likely feel affected by their emotions. They may feel a sense of relief for having released their pent up emotions, but they may also feel vulnerable or exposed in front of their colleagues.

C: If Sydney felt worse after bursting into tears at work, it could be because they were embarrassed or ashamed of their emotional outburst. They may feel like they have let their colleagues down or that they have lost control in a professional setting. This could lead to feelings of guilt, shame, or anxiety.","C: worse.

Explanation:

After bursting into tears at work, Sydney may initially feel affected by their emotions, but if they feel worse afterwards, it suggests that their emotional outburst had a negative impact on them. This could be due to various reasons, such as feeling embarrassed or ashamed, or worrying about how their colleagues perceive them. Feeling worse could also indicate that Sydney's pent up emotions were not fully resolved, and they may continue to struggle with their emotions in the future.",B,
